flag,cst_unn_id,bas_inf,act,zx
0,36542750,10,22,120
0,35609254,15,12,110
0,32890529,10,20,110
0,41312506,38,15,25
0,34005220,8,7,120
0,32921075,8,22,120
0,32921075,8,22,120
0,35835470,8,27,105
0,36576864,10,22,120
0,39417660,15,25,90
0,34989511,10,25,80
0,32915354,16,22,110
0,36960716,13,22,105
0,33588452,8,12,115
0,30804476,15,22,90
0,37871145,-9,7,75
0,39123370,15,10,110
0,39863612,5,5,-5
0,32390709,15,22,120
0,36468151,28,17,105
0,35929998,13,7,105
0,39704917,45,22,110
0,36142097,25,12,40
0,41119031,13,7,115
0,30703942,10,12,115
0,37830542,15,12,45
0,35122740,20,17,70
0,37987918,15,22,45
0,32499595,10,22,115
0,35926241,13,12,105
0,36989476,10,12,35
0,34260257,10,7,110
0,35934166,15,27,110
0,37016895,20,12,65
0,39046997,15,12,35
0,37898608,16,17,115
0,36672573,20,15,-35
0,41095785,8,22,105
0,39115928,15,12,110
0,40566801,10,2,-25
0,31238746,15,22,115
0,37859451,12,22,80
0,34058824,10,5,50
0,34011177,20,20,30
0,35407913,10,17,95
0,32930900,0,12,85
0,33502416,18,23,45
0,33482932,8,22,120
0,32195970,8,22,105
0,43476547,33,7,110
0,39347842,31,27,105
0,34501209,7,12,120
0,37843999,10,7,30
0,35717900,10,22,110
0,37848561,13,12,110
0,35835549,5,5,60
0,30049219,0,12,110
0,32549445,11,17,120
0,32567922,16,27,105
0,30897759,13,22,105
0,41524707,28,12,120
0,36860289,15,17,90
0,39565093,8,12,120
0,32486535,15,12,105
0,32593103,10,22,105
0,32379804,10,22,115
0,42120425,17,28,30
0,36625974,15,20,105
0,41216475,10,25,55
0,42056517,16,12,75
0,37611059,15,22,115
0,40951355,3,12,60
0,35267407,13,-3,115
0,40729073,10,18,-25
0,41226429,10,3,25
0,34122769,18,30,55
0,32890617,10,22,120
0,40428860,40,18,-15
0,35163583,12,12,90
0,31585013,15,7,85
0,35834775,10,10,110
0,35782764,18,7,95
0,39448264,18,22,120
0,33554428,10,7,110
0,34362281,8,27,110
0,37851797,16,12,100
0,34194990,40,22,70
0,32239336,8,12,115
0,35014843,15,27,105
0,34986639,15,22,105
